School Name,City and State,Type,Conference,Division
Copiah-Lincoln Community College,"Wesson, Mississippi",Public,MACCC,JC
Coppin State University,"Baltimore, Maryland",Public,Mid-Eastern Athletic Conference,NCAA D1
Corban University,"Salem, Oregon",Private,Cascade Collegiate Conference,NAIA
Cornell College,"Mount Vernon, Iowa",Private,Midwest Conference,NCAA D3
Cornell University,"Ithaca, New York",Private,Ivy League,NCAA D1
Cornerstone University,"Grand Rapids, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Corning Community College,"Corning, New York",Public,Mid-State Athletic Conference,JC
County College of Morris,"Randolph, New Jersey",Public,Garden State Athletic Conference,JC
Covenant College,"Lookout Mountain, Georgia",Private,Collegiate Conference of the South,NCAA D3
Cowley College,"Arkansas City, Kansas",Public,KJCCC,JC
Creighton University,"Omaha, Nebraska",Private,Big East Conference,NCAA D1
Crowder College,"Neosho, Missouri",Public,Region 16,JC
Crowley's Ridge College,"Paragould, Arkansas",Private,Continental Athletic Conference,NAIA
Crown College,"Saint Bonifacius, Minnesota",Private,Upper Midwest Athletic Conference,NCAA D3
Cuesta College,"San Luis Obispo, California",Public,"CCCAA, WSC",JC
Culver-Stockton College,"Canton, Missouri",Private,Heart of America Athletic Conference,NAIA
Cumberland University,"Lebanon, Tennessee",Private,Mid-South Conference,NAIA
Curry College,"Milton, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Cuyahoga Community College,"Cleveland, Ohio",Public,OCCAC,JC
Cypress College,"Cypress, California",Public,Orange Empire Conference,JC
D'Youville University,"Buffalo, New York",Private,East Coast Conference,NCAA D2
Dakota College at Bottineau,"Bottineau, North Dakota",Public,Mon-Dak Conference,JC
Dakota State University,"Madison, South Dakota",Public,North Star Athletic Association,NAIA
Dakota Wesleyan University,"Mitchell, South Dakota",Private,Great Plains Athletic Conference,NAIA
Dallas Baptist University,"Dallas, Texas",Private,Heartland Conference,NCAA D3
Dallas Collage-Richland,"Dallas, Texas",Public,Dallas Athletic Conference,JC
Dallas College-Mountain View,"Dallas, Texas",Public,Dallas Athletic Conference,JC
Danville Area Community College,"Danville, Illinois",Public,Mid-West Athletic Conference,JC
Dartmouth College,"Hanover, New Hampshire",Private,Ivy League,NCAA D1
Davenport University,"Grand Rapids, Michigan",Private,Great Lakes Intercollegiate Athletic Conference,NCAA D2
Davidson College,"Davidson, North Carolina",Private,Atlantic 10 Conference,NCAA D1
